year	quarter	000014DebtCapc	000014OperCapc	000014DeveCapc	000014EarnCapc	600330DebtCapc	600330OperCapc	600330DeveCapc	600330EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	-0.5944854	-37.686778	-1.2931462	-0.47549643	-12.51663745	-1.87776899	-0.2367409	-0.087211627	2.53	8.28	5.22	14.30920461
2005	2	-0.9980712	-23.619969	0.2247293	-0.3260321	-10.36049451	-0.40994594	1.5507757	-0.166002027	2.43	8.28	5.22	14.8707352
2005	3	-3.144156	-16.478597	-1.5877914	-0.29469415	-1.70209898	1.45142209	-0.6735971	-0.165270344	2.1	8.13	5.22	17.19476822
2005	4	0.6719688	-18.704125	-0.3416942	-0.25235066	0.11937639	4.27265909	-2.5878574	-0.094199128	1.83	8.07	5.22	18.09123087
2006	1	-11.0580016	-28.414116	2.5425378	-0.33388589	-1.63086059	-1.60183944	-2.811067	-0.084544943	1.5	8.05	5.22	17.51718278
2006	2	-14.8674083	-21.409993	-0.6107909	-0.09707547	-4.25166862	0.28984375	1.1534121	-0.149577711	1.23	8.01	5.4	17.38256767
2006	3	-13.4081738	-13.430353	-1.7145606	-0.0760274	-1.83226029	1.24225226	-0.4689839	-0.168000085	1.23	7.96	5.52	16.32614112
2006	4	-0.9121502	-22.306865	-7.9154411	-0.25416034	-1.41682415	2.32881718	-0.4857242	-0.174581607	1.37	7.86	5.58	15.60622221
2007	1	5.2932155	-39.188606	-1.5966744	-0.75152302	-3.16669026	-1.73488221	1.6750626	-0.1310563	2.43	7.76	5.61	16.94836817
2007	2	4.5496193	-34.162361	-1.7788358	-0.75137445	-2.41852828	0.07732785	0.4575208	-0.173553762	2.97	7.68	5.79	16.96535471
2007	3	5.2713115	-30.31585	24.8756792	-0.98968082	-2.31950363	1.63008272	-0.2448312	-0.193590658	3.83	7.56	6.24	18.34050682
2007	4	3.1058477	-17.27593	-4.0704432	-0.52814383	0.70902418	1.08705757	-2.2376321	-0.119294025	4.6	7.43	6.51	17.87054535
2008	1	7.640166	-41.546214	-2.8018883	-1.37877464	-1.91482434	-1.90521795	-2.7088544	-0.072028945	7.67	7.16	6.57	17.47019444
2008	2	7.8905002	-37.533239	-0.724853	-1.70802646	1.11375852	-0.57233561	-0.7681051	-0.057878783	8.07	6.96	6.57	17.38303282
2008	3	8.8290753	-36.058454	-0.2386921	-2.37858413	2.07927747	0.70577143	-1.9981195	-0.036104572	7.33	6.84	6.45	15.79803171
2008	4	-0.8601136	10.05391	-9.4920901	0.72088597	3.04453675	2.36676555	9.8061083	0.022016722	6.3	6.84	5.31	15.83323959
2009	1	3.6580779	-31.108635	-1.8746957	-0.70244221	13.99001075	-2.35844145	-0.0939485	0.306996161	0.03	6.84	4.86	21.51701359
2009	2	1.7127608	26.993073	-16.8166704	0.34422651	9.79493326	-1.62276358	-0.7858874	0.214226776	-0.93	6.83	4.86	26.66699371
2009	3	0.8539024	59.569774	-0.6509586	1.44769664	9.81851587	-0.71976203	1.2214723	0.22877542	-1.17	6.83	4.86	28.71429551
2009	4	0.8250991	102.582649	-1.5364815	1.85800923	17.25158696	1.65270816	5.0945794	0.546994194	-0.9	6.83	4.86	29.1668298
2010	1	-11.7568636	18.087824	4.6932293	1.56410671	2.62706722	1.52954046	-1.2070933	0.022349104	1.93	6.83	4.86	24.66034388
2010	2	-5.102308	30.988829	-1.8447052	1.53584266	0.49749811	4.41274652	-6.2095444	-0.048596767	2.5	6.82	4.86	20.27998732
2010	3	-1.1983352	30.475939	130.5748922	1.05402734	0.28316646	11.10535979	-0.5293768	-0.069835784	2.8	6.77	4.86	18.60427965
2010	4	-2.1915894	100.878796	-3.8727089	1.83369946	0.07347676	15.12807999	1.7437295	-0.10108072	3.17	6.65	5.183333	19.22971745
2011	1	6.7257734	-34.171336	-1.9737887	-0.81725154	0.86202941	-0.06548068	-0.4790772	-0.052074315	4.93	6.58	5.516667	16.55746923
2011	2	0.5961438	-11.775752	-9.7923605	-0.20230117	2.097418	3.51087928	-1.2627395	-0.025681898	5.23	6.5	5.85	15.43661454
2011	3	-0.4412346	-2.924417	-1.2399562	0.19132465	2.60093669	5.81213455	1.4428042	-0.013228951	5.6	6.42	6.1	13.7584146
2011	4	-3.0224534	27.285419	2.3634441	1.51158662	3.06242445	20.21412188	2.5776591	0.00525019	5.5	6.36	6.1	16.75804914
2012	1	3.4657532	-35.087297	-1.8417087	-0.61370513	6.25899707	11.44596579	1.517517	0.143367422	4.07	6.31	6.1	17.52529737
2012	2	4.0677475	-28.815858	-54.2310718	-0.90023892	5.85793213	-9.30471521	-0.392194	0.130318357	3.5	6.33	6.016667	17.945193
2012	3	4.2290506	-22.534141	-0.8462585	-1.14767991	5.95954008	-12.01260836	0.4978261	0.155428364	2.93	6.35	5.6	19.07042865
2012	4	1.688439	38.993079	-10.7844375	0.59957204	8.87387034	-9.98930097	3.1967429	0.307921313	2.67	6.24	5.6	14.49413194
2013	1	3.1347051	-8.398524	-1.7598383	-0.55023993	4.29770636	-3.51148182	-1.1091951	0.053465296	2.36	6.22	5.6	15.57882161
2013	2	3.6273869	9.324377	-1.9997757	-0.6955024	3.85509516	-4.30621558	-1.1699263	0.036074908	2.4	6.15	5.6	15.26833409
2013	3	3.6649266	28.013197	-1.0938381	-0.78790953	3.54244963	-4.79772956	17.430206	0.037270491	2.48	6.13	5.6	14.46348577
2013	4	0.8688981	76.367993	11.962865	0.67789679	3.16442806	-5.91667724	0.3227517	0.028095466	2.62	6.09	5.6	14.03099259
2014	1	-7.0554421	-27.119801	-0.9735995	0.52103954	2.36841094	-4.37852433	-1.2770998	-0.006099995	2.33	6.1	5.6	12.865347
2014	2	-1.8096952	-11.926213	-1.4930761	0.5115913	2.63701852	-5.32521396	-0.822254	-0.005682128	2.22	6.23	5.6	13.79200024
2014	3	0.9343703	4.324939	-6.336079	0.10214076	3.11611365	-5.79588299	-10.1028383	0.008777722	2.21	6.17	5.6	12.62835459
2014	4	-3.2245927	61.865426	-6.1724333	1.85256661	3.15889831	-6.7820363	3.4969896	0.03901892	2.04	6.15	5.6	11.6766024
2015	1	2.8173266	-35.798202	-1.9670974	-0.61363796	2.37419298	-2.40024569	0.3776462	0.001397329	1.02	6.24	5.516667	10.52284864
2015	2	-2.1494585	-11.208669	0.6940828	0.08725265	1.67317178	-1.70330419	-3.6889583	0.002849323	1.27	6.2	5.1	10.13337373
2015	3	3.4288176	6.671433	-6.3962613	-0.62701081	-96.67748251	-0.98764994	-8.0786334	-0.046114117	1.39	6.3	4.683333	13.24902758
2015	4	-5.7563507	46.523638	-8.2667576	1.8402838	13.04501136	-0.1835119	-1.1325244	-0.049304286	1.43	6.4	4.35	13.50407781
