year	quarter	000727DebtCapc	000727OperCapc	000727DeveCapc	000727EarnCapc	600755DebtCapc	600755OperCapc	600755DeveCapc	600755EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	0.25439144	-3.7701496	30.2702001	-0.0257218	1.85276068	91.200451	2.3922417	-0.312710728	2.53	8.28	5.22	14.30920461
2005	2	0.34287841	-3.3436429	-1.9038747	-0.01329654	-0.07299901	78.652378	0.8854417	-0.13676393	2.43	8.28	5.22	14.8707352
2005	3	-0.03500906	-2.7487091	-4.7297394	0.05950022	-2.93008868	72.695078	1.3138829	0.067821371	2.1	8.13	5.22	17.19476822
2005	4	-3.50528743	-1.9423699	-10.3696026	0.61958825	-0.35679212	123.761235	1.2827193	0.213386077	1.83	8.07	5.22	18.09123087
2006	1	3.27857483	-3.6683545	-0.8619532	-0.25249262	2.08381163	-9.310688	2.1528168	-0.275171516	1.5	8.05	5.22	17.51718278
2006	2	1.61158478	-3.001653	-0.1217517	-0.14716338	2.03203265	13.799834	1.3000142	-0.113388826	1.23	8.01	5.4	17.38256767
2006	3	1.28308814	-2.326001	-1.7749568	-0.10971972	1.20564626	34.93202	1.7108585	0.032747313	1.23	7.96	5.52	16.32614112
2006	4	1.45392412	-1.7481371	-0.2626121	-0.12609815	0.32661335	136.88646	0.3875595	0.168159467	1.37	7.86	5.58	15.60622221
2007	1	1.7211749	-3.5446579	-2.5233181	-0.13478665	-6.03160212	-72.306947	1.9431788	-0.259285401	2.43	7.76	5.61	16.94836817
2007	2	2.43260432	-2.4569719	-8.8927653	-0.19767898	-4.09280076	-114.679154	1.6174434	-0.12635944	2.97	7.68	5.79	16.96535471
2007	3	2.95576912	-1.3458494	-2.9512488	-0.27408895	-7.23703005	26.884954	2.2396757	-0.084561551	3.83	7.56	6.24	18.34050682
2007	4	-7.7648286	-0.1857968	23.8298579	1.35466047	-2.38832874	39.503802	-3.1262557	0.256392048	4.6	7.43	6.51	17.87054535
2008	1	2.81714874	-3.4126699	-0.9877201	-0.20416951	-16.12834371	-19.909877	2.0885754	-0.218952312	7.67	7.16	6.57	17.47019444
2008	2	2.82515996	-2.2969934	-1.9413329	-0.21952758	-2.77748635	-11.606628	1.0389048	-0.031037631	8.07	6.96	6.57	17.38303282
2008	3	2.29694755	-1.3797925	-0.4651589	-0.1915713	-2.56577821	-3.268108	2.6096943	0.003254713	7.33	6.84	6.45	15.79803171
2008	4	1.82010844	1.1565636	-4.005476	-0.14694112	2.31898146	-2.595767	5.0710751	-0.05355601	6.3	6.84	5.31	15.83323959
2009	1	-2.98612628	-2.7195764	-14.946181	0.09032692	0.99421945	-22.458335	5.073869	-0.294315912	0.03	6.84	4.86	21.51701359
2009	2	-1.32725592	-0.3714515	-1.2882921	0.04388801	1.29183024	-17.519401	2.1804976	-0.219244838	-0.93	6.83	4.86	26.66699371
2009	3	-1.11893998	1.1876119	-3.4508227	0.07078385	1.30834917	-8.250276	1.1112734	-0.122344104	-1.17	6.83	4.86	28.71429551
2009	4	1.79194107	5.9210454	2.8426926	-0.07574211	0.2987715	-9.668176	-1.2139522	0.144425579	-0.9	6.83	4.86	29.1668298
2010	1	-4.9059987	10.7928992	-0.9928819	0.03578936	-6.92463754	-20.884747	2.1039046	-0.237592619	1.93	6.83	4.86	24.66034388
2010	2	-0.64444814	6.7546941	-0.6118889	-0.04690625	-1.14387333	-16.225408	2.0367993	-0.105740247	2.5	6.82	4.86	20.27998732
2010	3	0.99071171	9.937856	-2.6990783	-0.09626926	0.80210161	-10.96479	2.8533659	-0.060560902	2.8	6.77	4.86	18.60427965
2010	4	-0.58196626	4.8961555	4.3851482	0.0314189	0.92616049	-4.651963	-50.9620274	0.172010003	3.17	6.65	5.183333	19.22971745
2011	1	-5.58254458	-2.7836109	-1.5069929	-0.02768947	0.20896915	-20.659943	1.8457143	-0.198987649	4.93	6.58	5.516667	16.55746923
2011	2	-0.23204336	-0.6278662	-1.5538296	-0.02510264	1.73260122	-15.420938	1.7491324	-0.015684141	5.23	6.5	5.85	15.43661454
2011	3	-0.31491589	1.0860425	-7.2485412	0.00237192	2.14378801	-9.253233	2.5092177	0.056576911	5.6	6.42	6.1	13.7584146
2011	4	0.74679831	3.8216563	-0.9844234	-0.01303482	2.46920453	-3.968186	-1.6403755	0.293930716	5.5	6.36	6.1	16.75804914
2012	1	-6.04915774	-2.3531915	1.3720488	0.09624184	2.95633352	-22.066442	2.1902721	-0.290561824	4.07	6.31	6.1	17.52529737
2012	2	-1.49786324	-1.731538	-1.5000928	0.06296581	3.21881545	-17.512755	1.5460185	-0.142405503	3.5	6.33	6.016667	17.945193
2012	3	-1.01017758	-0.1173754	-2.3560047	0.07995887	3.33655434	-12.98246	2.4454054	-0.089802674	2.93	6.35	5.6	19.07042865
2012	4	-0.60960574	1.5974436	-2.538391	0.11623336	3.06073139	-8.755493	-1.7351142	0.136274197	2.67	6.24	5.6	14.49413194
2013	1	-2.55087269	-3.1617214	-4.0428621	0.07817848	0.69273685	-21.519402	1.9496446	-0.25612915	2.36	6.22	5.6	15.57882161
2013	2	-2.15524623	-1.9886016	-2.155076	0.1575287	-1.01289248	-16.230419	0.9159834	0.004560707	2.4	6.15	5.6	15.26833409
2013	3	-1.75070737	-0.7374122	-1.8630239	0.20151766	-0.88665411	-11.806907	1.7713225	0.222368133	2.48	6.13	5.6	14.46348577
2013	4	1.05170625	2.755016	2.3689973	-0.01552672	-3.25943177	-5.282523	0.2578187	0.932279056	2.62	6.09	5.6	14.03099259
2014	1	-0.64162688	-0.9686689	-2.9840325	-0.0435827	2.10812364	-20.328037	2.1910499	-0.115631891	2.33	6.1	5.6	12.865347
2014	2	2.60510015	2.8996393	1.0510155	-0.1236483	2.43303674	-14.406219	1.9559886	0.134483175	2.22	6.23	5.6	13.79200024
2014	3	2.73680702	7.2200974	1.0602538	-0.13980684	2.54496301	-10.281211	1.1295233	0.436767306	2.21	6.17	5.6	12.62835459
2014	4	2.34750658	10.4246914	-2.4907626	-0.15106614	2.74905587	-5.713504	2.5614885	0.511806671	2.04	6.15	5.6	11.6766024
2015	1	2.42818594	-3.9422189	1.2715828	-0.03444931	3.33897398	-22.301047	0.9506587	-0.313528153	1.02	6.24	5.516667	10.52284864
2015	2	2.09744453	-3.758117	-1.0967331	-0.05824356	2.97127811	-17.33207	0.1726474	-0.076518343	1.27	6.2	5.1	10.13337373
2015	3	2.16210234	-3.709915	26.9400785	-0.07811593	3.4328076	-12.406915	2.7136625	-0.046669089	1.39	6.3	4.683333	13.24902758
2015	4	1.21296301	-4.3083984	2.7095457	-0.12851229	2.96948708	-5.788244	-13.5716151	0.410260943	1.43	6.4	4.35	13.50407781
