year	quarter	000727DebtCapc	000727OperCapc	000727DeveCapc	000727EarnCapc	600775DebtCapc	600775OperCapc	600775DeveCapc	600775EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	0.25439144	-3.7701496	30.2702001	-0.0257218	-0.2046624	-1.307010287	-1.91353752	0.002302271	2.53	8.28	5.22	14.30920461
2005	2	0.34287841	-3.3436429	-1.9038747	-0.01329654	-0.3824957	-0.28277896	0.57757238	0.062828263	2.43	8.28	5.22	14.8707352
2005	3	-0.03500906	-2.7487091	-4.7297394	0.05950022	-0.39438664	-0.009830252	0.37972465	0.128135709	2.1	8.13	5.22	17.19476822
2005	4	-3.50528743	-1.9423699	-10.3696026	0.61958825	-0.29691004	1.441783147	0.53733987	0.185031696	1.83	8.07	5.22	18.09123087
2006	1	3.27857483	-3.6683545	-0.8619532	-0.25249262	-0.69671299	-1.471660395	0.05109954	-0.051996663	1.5	8.05	5.22	17.51718278
2006	2	1.61158478	-3.001653	-0.1217517	-0.14716338	-0.6155569	-0.825084918	1.01310823	0.015340496	1.23	8.01	5.4	17.38256767
2006	3	1.28308814	-2.326001	-1.7749568	-0.10971972	-0.12730528	-0.328642745	1.77951916	0.147277367	1.23	7.96	5.52	16.32614112
2006	4	1.45392412	-1.7481371	-0.2626121	-0.12609815	-0.09154847	0.673931595	-0.05133354	0.148875461	1.37	7.86	5.58	15.60622221
2007	1	1.7211749	-3.5446579	-2.5233181	-0.13478665	-0.74797	-1.490576104	0.0927325	-0.056805917	2.43	7.76	5.61	16.94836817
2007	2	2.43260432	-2.4569719	-8.8927653	-0.19767898	-0.71166341	0.716966466	1.53664531	-0.003137196	2.97	7.68	5.79	16.96535471
2007	3	2.95576912	-1.3458494	-2.9512488	-0.27408895	-0.67700457	0.988453617	0.40687001	0.033848112	3.83	7.56	6.24	18.34050682
2007	4	-7.7648286	-0.1857968	23.8298579	1.35466047	-0.35195219	4.4188312	1.71073005	0.108952577	4.6	7.43	6.51	17.87054535
2008	1	2.81714874	-3.4126699	-0.9877201	-0.20416951	-1.18431679	-6.325393091	-0.53356967	-0.089584563	7.67	7.16	6.57	17.47019444
2008	2	2.82515996	-2.2969934	-1.9413329	-0.21952758	-1.09296582	-18.83612651	0.9527017	-0.05974881	8.07	6.96	6.57	17.38303282
2008	3	2.29694755	-1.3797925	-0.4651589	-0.1915713	-0.87530129	26.85167236	1.16182148	-0.013847303	7.33	6.84	6.45	15.79803171
2008	4	1.82010844	1.1565636	-4.005476	-0.14694112	-1.128453	-40.58461433	-2.07728774	-0.04340441	6.3	6.84	5.31	15.83323959
2009	1	-2.98612628	-2.7195764	-14.946181	0.09032692	-1.61901142	-8.209795661	-1.25365682	-0.117191323	0.03	6.84	4.86	21.51701359
2009	2	-1.32725592	-0.3714515	-1.2882921	0.04388801	-4.37318313	-9.846602109	-25.60717622	-0.26487503	-0.93	6.83	4.86	26.66699371
2009	3	-1.11893998	1.1876119	-3.4508227	0.07078385	-3.25388439	-9.65666768	-1.21206222	-0.224010797	-1.17	6.83	4.86	28.71429551
2009	4	1.79194107	5.9210454	2.8426926	-0.07574211	-1.37172619	13.53317259	4.72217191	-0.089668315	-0.9	6.83	4.86	29.1668298
2010	1	-4.9059987	10.7928992	-0.9928819	0.03578936	-0.29712051	0.89678788	-0.73863743	-0.106343815	1.93	6.83	4.86	24.66034388
2010	2	-0.64444814	6.7546941	-0.6118889	-0.04690625	-2.59893794	5.976830685	-4.28882371	-0.145981	2.5	6.82	4.86	20.27998732
2010	3	0.99071171	9.937856	-2.6990783	-0.09626926	-2.94845889	6.218363073	-0.31732309	-0.165621959	2.8	6.77	4.86	18.60427965
2010	4	-0.58196626	4.8961555	4.3851482	0.0314189	-1.60172719	9.742261392	-5.99246394	-0.112912545	3.17	6.65	5.183333	19.22971745
2011	1	-5.58254458	-2.7836109	-1.5069929	-0.02768947	1.05853168	0.223820101	0.56748619	-0.085561026	4.93	6.58	5.516667	16.55746923
2011	2	-0.23204336	-0.6278662	-1.5538296	-0.02510264	1.52155197	3.027716349	1.11060836	-0.04528535	5.23	6.5	5.85	15.43661454
2011	3	-0.31491589	1.0860425	-7.2485412	0.00237192	2.42321371	4.425336516	1.24445201	0.018882748	5.6	6.42	6.1	13.7584146
2011	4	0.74679831	3.8216563	-0.9844234	-0.01303482	2.75563552	8.472898838	0.7746473	0.086572463	5.5	6.36	6.1	16.75804914
2012	1	-6.04915774	-2.3531915	1.3720488	0.09624184	2.32696489	0.565898888	-0.42112557	-0.093491309	4.07	6.31	6.1	17.52529737
2012	2	-1.49786324	-1.731538	-1.5000928	0.06296581	2.35024423	3.396864384	2.70779891	-0.019595896	3.5	6.33	6.016667	17.945193
2012	3	-1.01017758	-0.1173754	-2.3560047	0.07995887	1.34725853	4.416575648	-0.41468266	0.003129117	2.93	6.35	5.6	19.07042865
2012	4	-0.60960574	1.5974436	-2.538391	0.11623336	2.70068433	6.955140132	2.93352439	0.110522704	2.67	6.24	5.6	14.49413194
2013	1	-2.55087269	-3.1617214	-4.0428621	0.07817848	2.0175777	-0.473032319	0.07665213	-0.077834853	2.36	6.22	5.6	15.57882161
2013	2	-2.15524623	-1.9886016	-2.155076	0.1575287	4.36586238	-0.687501591	3.68679233	0.037484129	2.4	6.15	5.6	15.26833409
2013	3	-1.75070737	-0.7374122	-1.8630239	0.20151766	6.17679128	0.033278704	0.09516056	0.119368929	2.48	6.13	5.6	14.46348577
2013	4	1.05170625	2.755016	2.3689973	-0.01552672	7.61430143	1.118083181	-0.92718082	0.208742685	2.62	6.09	5.6	14.03099259
2014	1	-0.64162688	-0.9686689	-2.9840325	-0.0435827	-12.21462358	-1.475167277	-1.09950253	-0.062674953	2.33	6.1	5.6	12.865347
2014	2	2.60510015	2.8996393	1.0510155	-0.1236483	-35.14700061	-0.971304652	1.56190222	0.050320491	2.22	6.23	5.6	13.79200024
2014	3	2.73680702	7.2200974	1.0602538	-0.13980684	-22.00250835	-0.438444348	-0.64572876	0.063204116	2.21	6.17	5.6	12.62835459
2014	4	2.34750658	10.4246914	-2.4907626	-0.15106614	167.2133508	0.634239108	16.41212204	0.200464488	2.04	6.15	5.6	11.6766024
2015	1	2.42818594	-3.9422189	1.2715828	-0.03444931	-25.62541253	-1.307595786	-0.29207134	-0.042928612	1.02	6.24	5.516667	10.52284864
2015	2	2.09744453	-3.758117	-1.0967331	-0.05824356	-41.11550588	-0.732509945	1.27045765	0.034756607	1.27	6.2	5.1	10.13337373
2015	3	2.16210234	-3.709915	26.9400785	-0.07811593	-22.17538608	-0.18628047	-0.05495467	0.084947408	1.39	6.3	4.683333	13.24902758
2015	4	1.21296301	-4.3083984	2.7095457	-0.12851229	-17.94827623	0.71771358	0.47747736	0.121513808	1.43	6.4	4.35	13.50407781
