year	quarter	000021DebtCapc	000021OperCapc	000021DeveCapc	000021EarnCapc	000727DebtCapc	000727OperCapc	000727DeveCapc	000727EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	100.44189	-19.816015	-0.322679226	-0.08550244	0.25439144	-3.7701496	30.2702001	-0.0257218	2.53	8.28	5.22	14.30920461
2005	2	99.99485	-15.419838	0.144404954	0.03291246	0.34287841	-3.3436429	-1.9038747	-0.01329654	2.43	8.28	5.22	14.8707352
2005	3	135.16905	-6.955999	-0.009824113	0.15278796	-0.03500906	-2.7487091	-4.7297394	0.05950022	2.1	8.13	5.22	17.19476822
2005	4	109.39704	2.34556	0.137638419	0.27963323	-3.50528743	-1.9423699	-10.3696026	0.61958825	1.83	8.07	5.22	18.09123087
2006	1	129.46973	-15.917521	-0.065660402	-0.06610511	3.27857483	-3.6683545	-0.8619532	-0.25249262	1.5	8.05	5.22	17.51718278
2006	2	97.46261	-4.951875	0.06910722	0.0594285	1.61158478	-3.001653	-0.1217517	-0.14716338	1.23	8.01	5.4	17.38256767
2006	3	101.072	10.95432	-0.079468424	0.17366229	1.28308814	-2.326001	-1.7749568	-0.10971972	1.23	7.96	5.52	16.32614112
2006	4	-4436.65467	33.444866	0.010830509	0.27843569	1.45392412	-1.7481371	-0.2626121	-0.12609815	1.37	7.86	5.58	15.60622221
2007	1	308.57075	3.055484	4.768977427	0.33642939	1.7211749	-3.5446579	-2.5233181	-0.13478665	2.43	7.76	5.61	16.94836817
2007	2	155.27765	28.853524	-1.067221087	0.44087224	2.43260432	-2.4569719	-8.8927653	-0.19767898	2.97	7.68	5.79	16.96535471
2007	3	120.8949	38.94978	-0.252884913	0.53276106	2.95576912	-1.3458494	-2.9512488	-0.27408895	3.83	7.56	6.24	18.34050682
2007	4	599.18962	64.41218	2.189902655	0.73283042	-7.7648286	-0.1857968	23.8298579	1.35466047	4.6	7.43	6.51	17.87054535
2008	1	69.92614	-5.542932	-0.840779462	-0.1083514	2.81714874	-3.4126699	-0.9877201	-0.20416951	7.67	7.16	6.57	17.47019444
2008	2	69.97879	17.146921	-0.143820295	-0.03603359	2.82515996	-2.2969934	-1.9413329	-0.21952758	8.07	6.96	6.57	17.38303282
2008	3	60.18728	23.604958	0.308921883	0.05578037	2.29694755	-1.3797925	-0.4651589	-0.1915713	7.33	6.84	6.45	15.79803171
2008	4	10.07928	34.373828	0.202619384	0.20362863	1.82010844	1.1565636	-4.005476	-0.14694112	6.3	6.84	5.31	15.83323959
2009	1	83.36274	-18.186821	-0.693020902	-0.14128888	-2.98612628	-2.7195764	-14.946181	0.09032692	0.03	6.84	4.86	21.51701359
2009	2	84.81936	-13.448634	0.464219918	-0.10430784	-1.32725592	-0.3714515	-1.2882921	0.04388801	-0.93	6.83	4.86	26.66699371
2009	3	84.14753	-3.862227	0.350857206	-0.0449121	-1.11893998	1.1876119	-3.4508227	0.07078385	-1.17	6.83	4.86	28.71429551
2009	4	85.01528	8.314559	0.662884427	0.03017689	1.79194107	5.9210454	2.8426926	-0.07574211	-0.9	6.83	4.86	29.1668298
2010	1	84.69923	-12.258828	-0.322617747	-0.12835573	-4.9059987	10.7928992	-0.9928819	0.03578936	1.93	6.83	4.86	24.66034388
2010	2	92.05205	-2.501769	0.476738392	-0.03720478	-0.64444814	6.7546941	-0.6118889	-0.04690625	2.5	6.82	4.86	20.27998732
2010	3	91.48119	8.313302	-0.359585421	0.02732524	0.99071171	9.937856	-2.6990783	-0.09626926	2.8	6.77	4.86	18.60427965
2010	4	94.63357	19.022264	0.23173835	0.09225292	-0.58196626	4.8961555	4.3851482	0.0314189	3.17	6.65	5.183333	19.22971745
2011	1	79.88876	-17.392666	-0.818017419	-0.16607977	-5.58254458	-2.7836109	-1.5069929	-0.02768947	4.93	6.58	5.516667	16.55746923
2011	2	80.73033	-10.393052	0.855472398	-0.11823551	-0.23204336	-0.6278662	-1.5538296	-0.02510264	5.23	6.5	5.85	15.43661454
2011	3	81.20355	-4.290376	0.186768072	-0.06525317	-0.31491589	1.0860425	-7.2485412	0.00237192	5.6	6.42	6.1	13.7584146
2011	4	79.49805	5.300899	-0.382922554	-0.0297191	0.74679831	3.8216563	-0.9844234	-0.01303482	5.5	6.36	6.1	16.75804914
2012	1	79.05954	-19.610598	-0.554704073	-0.17378078	-6.04915774	-2.3531915	1.3720488	0.09624184	4.07	6.31	6.1	17.52529737
2012	2	79.2216	-13.138912	-0.81178872	-0.16717594	-1.49786324	-1.731538	-1.5000928	0.06296581	3.5	6.33	6.016667	17.945193
2012	3	78.57223	-7.181169	-3.344426453	-0.17819098	-1.01017758	-0.1173754	-2.3560047	0.07995887	2.93	6.35	5.6	19.07042865
2012	4	76.639	1.077808	-0.881089834	-0.18899976	-0.60960574	1.5974436	-2.538391	0.11623336	2.67	6.24	5.6	14.49413194
2013	1	77.09191	-18.825411	-2.186058568	-0.17251241	-2.55087269	-3.1617214	-4.0428621	0.07817848	2.36	6.22	5.6	15.57882161
2013	2	76.86529	-11.921341	-0.101295967	-0.15300817	-2.15524623	-1.9886016	-2.155076	0.1575287	2.4	6.15	5.6	15.26833409
2013	3	77.06307	-5.653179	2.229558037	-0.10303982	-1.75070737	-0.7374122	-1.8630239	0.20151766	2.48	6.13	5.6	14.46348577
2013	4	77.07285	2.284882	-0.182398884	-0.06193763	1.05170625	2.755016	2.3689973	-0.01552672	2.62	6.09	5.6	14.03099259
2014	1	74.80667	-17.098442	-4.058503572	-0.29664937	-0.64162688	-0.9686689	-2.9840325	-0.0435827	2.33	6.1	5.6	12.865347
2014	2	76.41731	-11.523869	-2.614249055	-0.20491636	2.60510015	2.8996393	1.0510155	-0.1236483	2.22	6.23	5.6	13.79200024
2014	3	77.43591	-4.743587	0.567467586	-0.08977168	2.73680702	7.2200974	1.0602538	-0.13980684	2.21	6.17	5.6	12.62835459
2014	4	77.34538	4.502979	-0.955137168	-0.06832028	2.34750658	10.4246914	-2.4907626	-0.15106614	2.04	6.15	5.6	11.6766024
2015	1	83.4896	-19.190494	0.56033624	-0.15556593	2.42818594	-3.9422189	1.2715828	-0.03444931	1.02	6.24	5.516667	10.52284864
2015	2	79.96547	-14.503976	0.786861138	-0.09466638	2.09744453	-3.758117	-1.0967331	-0.05824356	1.27	6.2	5.1	10.13337373
2015	3	78.91877	-9.130218	-1.241032508	-0.1026042	2.16210234	-3.709915	26.9400785	-0.07811593	1.39	6.3	4.683333	13.24902758
2015	4	78.04687	-2.498365	7.083882553	-0.08642819	1.21296301	-4.3083984	2.7095457	-0.12851229	1.43	6.4	4.35	13.50407781
