year	quarter	000021DebtCapc	000021OperCapc	000021DeveCapc	000021EarnCapc	600755DebtCapc	600755OperCapc	600755DeveCapc	600755EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	100.44189	-19.816015	-0.322679226	-0.08550244	1.85276068	91.200451	2.3922417	-0.312710728	2.53	8.28	5.22	14.30920461
2005	2	99.99485	-15.419838	0.144404954	0.03291246	-0.07299901	78.652378	0.8854417	-0.13676393	2.43	8.28	5.22	14.8707352
2005	3	135.16905	-6.955999	-0.009824113	0.15278796	-2.93008868	72.695078	1.3138829	0.067821371	2.1	8.13	5.22	17.19476822
2005	4	109.39704	2.34556	0.137638419	0.27963323	-0.35679212	123.761235	1.2827193	0.213386077	1.83	8.07	5.22	18.09123087
2006	1	129.46973	-15.917521	-0.065660402	-0.06610511	2.08381163	-9.310688	2.1528168	-0.275171516	1.5	8.05	5.22	17.51718278
2006	2	97.46261	-4.951875	0.06910722	0.0594285	2.03203265	13.799834	1.3000142	-0.113388826	1.23	8.01	5.4	17.38256767
2006	3	101.072	10.95432	-0.079468424	0.17366229	1.20564626	34.93202	1.7108585	0.032747313	1.23	7.96	5.52	16.32614112
2006	4	-4436.65467	33.444866	0.010830509	0.27843569	0.32661335	136.88646	0.3875595	0.168159467	1.37	7.86	5.58	15.60622221
2007	1	308.57075	3.055484	4.768977427	0.33642939	-6.03160212	-72.306947	1.9431788	-0.259285401	2.43	7.76	5.61	16.94836817
2007	2	155.27765	28.853524	-1.067221087	0.44087224	-4.09280076	-114.679154	1.6174434	-0.12635944	2.97	7.68	5.79	16.96535471
2007	3	120.8949	38.94978	-0.252884913	0.53276106	-7.23703005	26.884954	2.2396757	-0.084561551	3.83	7.56	6.24	18.34050682
2007	4	599.18962	64.41218	2.189902655	0.73283042	-2.38832874	39.503802	-3.1262557	0.256392048	4.6	7.43	6.51	17.87054535
2008	1	69.92614	-5.542932	-0.840779462	-0.1083514	-16.12834371	-19.909877	2.0885754	-0.218952312	7.67	7.16	6.57	17.47019444
2008	2	69.97879	17.146921	-0.143820295	-0.03603359	-2.77748635	-11.606628	1.0389048	-0.031037631	8.07	6.96	6.57	17.38303282
2008	3	60.18728	23.604958	0.308921883	0.05578037	-2.56577821	-3.268108	2.6096943	0.003254713	7.33	6.84	6.45	15.79803171
2008	4	10.07928	34.373828	0.202619384	0.20362863	2.31898146	-2.595767	5.0710751	-0.05355601	6.3	6.84	5.31	15.83323959
2009	1	83.36274	-18.186821	-0.693020902	-0.14128888	0.99421945	-22.458335	5.073869	-0.294315912	0.03	6.84	4.86	21.51701359
2009	2	84.81936	-13.448634	0.464219918	-0.10430784	1.29183024	-17.519401	2.1804976	-0.219244838	-0.93	6.83	4.86	26.66699371
2009	3	84.14753	-3.862227	0.350857206	-0.0449121	1.30834917	-8.250276	1.1112734	-0.122344104	-1.17	6.83	4.86	28.71429551
2009	4	85.01528	8.314559	0.662884427	0.03017689	0.2987715	-9.668176	-1.2139522	0.144425579	-0.9	6.83	4.86	29.1668298
2010	1	84.69923	-12.258828	-0.322617747	-0.12835573	-6.92463754	-20.884747	2.1039046	-0.237592619	1.93	6.83	4.86	24.66034388
2010	2	92.05205	-2.501769	0.476738392	-0.03720478	-1.14387333	-16.225408	2.0367993	-0.105740247	2.5	6.82	4.86	20.27998732
2010	3	91.48119	8.313302	-0.359585421	0.02732524	0.80210161	-10.96479	2.8533659	-0.060560902	2.8	6.77	4.86	18.60427965
2010	4	94.63357	19.022264	0.23173835	0.09225292	0.92616049	-4.651963	-50.9620274	0.172010003	3.17	6.65	5.183333	19.22971745
2011	1	79.88876	-17.392666	-0.818017419	-0.16607977	0.20896915	-20.659943	1.8457143	-0.198987649	4.93	6.58	5.516667	16.55746923
2011	2	80.73033	-10.393052	0.855472398	-0.11823551	1.73260122	-15.420938	1.7491324	-0.015684141	5.23	6.5	5.85	15.43661454
2011	3	81.20355	-4.290376	0.186768072	-0.06525317	2.14378801	-9.253233	2.5092177	0.056576911	5.6	6.42	6.1	13.7584146
2011	4	79.49805	5.300899	-0.382922554	-0.0297191	2.46920453	-3.968186	-1.6403755	0.293930716	5.5	6.36	6.1	16.75804914
2012	1	79.05954	-19.610598	-0.554704073	-0.17378078	2.95633352	-22.066442	2.1902721	-0.290561824	4.07	6.31	6.1	17.52529737
2012	2	79.2216	-13.138912	-0.81178872	-0.16717594	3.21881545	-17.512755	1.5460185	-0.142405503	3.5	6.33	6.016667	17.945193
2012	3	78.57223	-7.181169	-3.344426453	-0.17819098	3.33655434	-12.98246	2.4454054	-0.089802674	2.93	6.35	5.6	19.07042865
2012	4	76.639	1.077808	-0.881089834	-0.18899976	3.06073139	-8.755493	-1.7351142	0.136274197	2.67	6.24	5.6	14.49413194
2013	1	77.09191	-18.825411	-2.186058568	-0.17251241	0.69273685	-21.519402	1.9496446	-0.25612915	2.36	6.22	5.6	15.57882161
2013	2	76.86529	-11.921341	-0.101295967	-0.15300817	-1.01289248	-16.230419	0.9159834	0.004560707	2.4	6.15	5.6	15.26833409
2013	3	77.06307	-5.653179	2.229558037	-0.10303982	-0.88665411	-11.806907	1.7713225	0.222368133	2.48	6.13	5.6	14.46348577
2013	4	77.07285	2.284882	-0.182398884	-0.06193763	-3.25943177	-5.282523	0.2578187	0.932279056	2.62	6.09	5.6	14.03099259
2014	1	74.80667	-17.098442	-4.058503572	-0.29664937	2.10812364	-20.328037	2.1910499	-0.115631891	2.33	6.1	5.6	12.865347
2014	2	76.41731	-11.523869	-2.614249055	-0.20491636	2.43303674	-14.406219	1.9559886	0.134483175	2.22	6.23	5.6	13.79200024
2014	3	77.43591	-4.743587	0.567467586	-0.08977168	2.54496301	-10.281211	1.1295233	0.436767306	2.21	6.17	5.6	12.62835459
2014	4	77.34538	4.502979	-0.955137168	-0.06832028	2.74905587	-5.713504	2.5614885	0.511806671	2.04	6.15	5.6	11.6766024
2015	1	83.4896	-19.190494	0.56033624	-0.15556593	3.33897398	-22.301047	0.9506587	-0.313528153	1.02	6.24	5.516667	10.52284864
2015	2	79.96547	-14.503976	0.786861138	-0.09466638	2.97127811	-17.33207	0.1726474	-0.076518343	1.27	6.2	5.1	10.13337373
2015	3	78.91877	-9.130218	-1.241032508	-0.1026042	3.4328076	-12.406915	2.7136625	-0.046669089	1.39	6.3	4.683333	13.24902758
2015	4	78.04687	-2.498365	7.083882553	-0.08642819	2.96948708	-5.788244	-13.5716151	0.410260943	1.43	6.4	4.35	13.50407781
